AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
A                             AB                              BB
A                             AB                              BB
A                                                             BB
A                                                             BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A     AAAAAAA   AAAAAAA       AB                              BB
A     A               A       ABBBBBBBBBBBBBBBBBBBBBBBBBBBB   BB
A     A               A       AB                              BB
A     A               A       AB                              BB
A     A               A       AB                              BB
A     A               A       AB                              BB
AAAAAAA               AAAAAAAAAB                              BB
A     A               A       AB                              BB
A     A               A       AB                              BB
A     A               A       AB                              BB
A     A               A       AB                              BB
A     A               A       AB                              BB
A     A               A       AB                              BB
A     AAAAAAA   AAAAAAA       AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB                              BB
A                             AB   D   D                      BB
A                             AB   DYZYD                      BB
A                             AB   D   D                      BB
A                             AB   DE ED                      BB
A                             AB   DE ED                      BB
AAAAAAAAAAAAAAAAA             AB   DE ED                      BB
A                             AB   DEEED                      BB
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB

