AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
A                                C                            AA
A                               B                             AA
A                            A   C  A                         AA
A                            A  B   A                         AA
A                            A   C  A                         AA
A                            A      A                         AA
A                            A      A                         AA
A                            A  B   A                         AA
A                            A   C  A                         AA
A                            A  B   A                         AA
A                            A   C  A                         AA
A                            A  B   A                         AA
A                            A      A                         AA
A                            A      A                         AA
A    AAAAAAAAAAAAAAAAAAAAAAAAAA    AAAAAAAAAAAAAAAAAAAAA  AAAAAA
Q    QPPPPPPPPPPPPPPPPPPPPPPPPP    PPPPPPPPPPPPPPBAAAAAA  AAAAPA
Q    QBBBBBBBBB                                  BA           AA
Q    QBBBBBBBBB                                  BA           AA
Q    QB                                          BA           AA
Q    QB                                          BA           AA
Q    QB  BBBBBB                                  BB           AA
Q    QB  BBBBBB                                  BA           AA
Q    QB  BBBBBB                                  BA           AA
Q    QB  BBBBBB                                  BA           AA
Q    QB  BBBBBB                                  BA           AA
Q    QB  BBBBBB                                  BA           AA
Q    QB                                          BA           AA
Q    QB                                          BA           AA
Q    QB BBBBBBB                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
Q    QB       B                                  BA           AA
QQ  QQB       B                                  BAAAAAAAAAAAAAA
RR  RRB       B                                               AA
RR  RRBBBBBBBBBBBBBBBBBBBBBBBBB   BBBBBBBBBBBBBB              AA
R   RRRRRRRRRRRRRRRRRRRRRRRRRRB   BB        BAAA              AA
R                            RB   BB        BA                AA
R                            RB   BB        BA                AA
R                            RB   BB        BA                AA
R                            RB   BB        BA                AA
R                            RB   BB        BA     D   D      AA
R                            RB             BA     DYZYD      AA
R                            RB             BA     D   D      AA
R                            RB             BA     DE ED      AA
R                            RB             BA     DE ED      AA
R                            RB             BA     DE ED      AA
R                            RB             BA     DEEED      AA
R                            RB             BAAAAAADDDDDAAAAAAAA
R                            RB             BBBBBBBBBBBBBBBBBBBA
R                            RB                               BA
R                            RB                               BA
R                            RB                               BA
RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB

