levels/meri3.mdl
images/ground.png
images/alus.png
images/maali.png
images/groundedge.png
images/ice.png
images/hirvio.png
images/invader.png
images/boulder.png
images/tux.png
0
0.000000 0.200000 0.000000 9.000000
0.000000 5.000000 0.000000 0.000000 0.000000
145.000000 5.000000 2.000000
0.0=2,-1.000000
0.2=1,1.000000
1.2=1,-1.000000
2.2=1,-1.000000
3.0=2,1.000000
4.2=1,1.000000
5.0=1,-1.000000
6.0=1,-1.000000
7.2=1,1.000000
8.2=1,1.000000
9.0=1,-1.000000
9.2=1,-1.000000
10.2=2,-1.000000
11.1=2,-1.000000
11.2=2,1.000000
12.0=1,1.000000
12.2=1,1.000000
13.2=1,-1.000000
enemy 3 -200 -10.0 0.0 0.5
