38,38,
0,0,48,38,
48,0,48,38,
96,0,48,38,
144,0,48,38,
192,0,48,10,
240,0,48,38,
288,0,48,38,
336,0,48,38,
384,0,48,38,
432,0,48,10,
480,0,48,10,


38,32,
0,48,48,32,
48,48,48,34,
96,48,48,32,
144,48,48,34,
192,48,48,30,
240,48,48,34,
288,48,48,32,
336,48,48,34,
384,48,48,32,
432,48,48,30,
480,48,48,30,


48,28,
0,96,48,28,
48,96,48,28,
96,96,48,28,
144,96,48,28,
192,96,48,22,
240,96,48,28,
288,96,48,28,
336,96,48,28,
384,96,48,28,
432,96,48,22,
480,96,48,22,


38,28,
0,144,48,28,
48,144,48,28,
96,144,48,28,
144,144,48,28,
192,144,48,14,
240,144,48,28,
288,144,48,28,
336,144,48,28,
384,144,48,28,
432,144,48,14,
480,144,48,14,


48,32,
0,192,48,32,
48,192,48,40,
96,192,48,32,
144,192,48,40,
192,192,48,34,
240,192,48,40,
288,192,48,32,
336,192,48,40,
384,192,48,32,
432,192,48,34,
480,192,48,34,


40,18,
0,240,40,18,
48,240,40,20,
96,240,40,18,
144,240,44,20,
192,240,40,10,
240,240,44,20,
288,240,40,18,
336,240,40,20,
384,240,40,18,
432,240,40,10,
480,240,40,10,


48,20,
0,288,48,20,
48,288,48,30,
96,288,48,40,
144,288,48,30,
192,288,0,0,
240,288,48,20,
288,288,48,30,
336,288,48,40,
384,288,48,30,
432,288,0,0,
480,288,0,0,


40,34,
0,336,40,38,
48,336,40,34,
96,336,40,38,
144,336,40,34,
192,336,40,34,
240,336,40,38,
288,336,40,34,
336,336,40,38,
384,336,40,34,
432,336,40,34,
480,336,40,34,


40,34,
0,384,40,38,
48,384,40,34,
96,384,40,38,
144,384,40,34,
192,384,40,34,
240,384,40,38,
288,384,40,34,
336,384,40,38,
384,384,40,34,
432,384,40,34,
480,384,40,34,


40,34,
0,432,40,38,
48,432,40,34,
96,432,40,38,
144,432,40,34,
192,432,40,34,
240,432,40,38,
288,432,40,34,
336,432,40,38,
384,432,40,34,
432,432,40,34,
480,432,40,34,


48,32,
0,480,48,32,
48,480,48,34,
96,480,48,32,
144,480,48,34,
192,480,44,28,
240,480,48,34,
288,480,48,32,
336,480,48,34,
384,480,48,32,
432,480,44,28,
480,480,44,28,


144,42,
0,528,144,42,
240,528,144,32,
0,528,144,42,
240,528,144,32,
0,528,144,42,
0,528,144,42,
240,528,144,32,
0,528,144,42,
240,528,144,32,
0,528,144,42,
0,528,144,42,


86,40,
0,576,86,40,
240,576,88,38,
0,576,86,40,
240,576,88,38,
0,576,86,40,
0,576,86,40,
240,576,88,38,
0,576,86,40,
240,576,88,38,
0,576,86,40,
0,576,86,40,


40,40,
0,624,40,40,
240,624,40,40,
0,624,40,40,
240,624,40,40,
0,624,40,40,
0,624,40,40,
240,624,40,40,
0,624,40,40,
240,624,40,40,
0,624,40,40,
0,624,40,40,


44,26,
0,672,48,26,
48,672,44,28,
96,672,40,42,
144,672,40,42,
192,672,44,26,
240,672,48,26,
288,672,44,28,
336,672,40,42,
384,672,40,42,
432,672,0,0,
480,672,0,0,
